Date,tesla: (United States)
10/20/2020,48
10/21/2020,66
10/22/2020,57
10/23/2020,49
10/26/2020,42
10/27/2020,38
10/28/2020,39
10/29/2020,40
10/30/2020,43
10/31/2020,32
11/3/2020,35
11/4/2020,22
11/5/2020,29
11/6/2020,40
11/9/2020,43
11/10/2020,38
11/11/2020,37
11/12/2020,35
11/13/2020,36
11/16/2020,45
11/17/2020,74
11/18/2020,56
11/19/2020,53
11/20/2020,51
11/23/2020,49
11/24/2020,58
11/25/2020,63
11/27/2020,48
11/30/2020,50
12/1/2020,54
12/2/2020,53
12/3/2020,55
12/4/2020,49
12/7/2020,57
12/8/2020,60
12/9/2020,60
12/10/2020,63
12/11/2020,53
12/14/2020,48
12/15/2020,51
12/16/2020,49
12/17/2020,50
12/18/2020,62
12/21/2020,66
12/22/2020,60
12/23/2020,53
12/24/2020,49
12/28/2020,57
12/29/2020,53
12/30/2020,53
12/31/2020,59
1/4/2021,51
1/5/2021,50
1/6/2021,52
1/7/2021,76
1/8/2021,100
1/11/2021,74
1/12/2021,73
1/13/2021,65
1/14/2021,66
1/15/2021,59
1/19/2021,57
1/20/2021,50
1/21/2021,55
1/22/2021,52
1/25/2021,60
1/26/2021,60
1/27/2021,76
1/28/2021,97
1/29/2021,79
2/1/2021,69
2/2/2021,67
2/3/2021,60
2/4/2021,56
2/5/2021,55
2/8/2021,62
2/9/2021,55
2/10/2021,57
2/11/2021,56
2/12/2021,57
2/16/2021,55
2/17/2021,58
2/18/2021,53
2/19/2021,55
2/22/2021,63
2/23/2021,83
2/24/2021,67
2/25/2021,62
2/26/2021,61
3/1/2021,58
3/2/2021,55
3/3/2021,53
3/4/2021,62
3/5/2021,73
3/8/2021,64
3/9/2021,71
3/10/2021,67
3/11/2021,61
3/12/2021,58
3/15/2021,54
3/16/2021,54
3/17/2021,52
3/18/2021,47
3/19/2021,50
3/22/2021,55
3/23/2021,52
3/24/2021,53
3/25/2021,54
3/26/2021,50
3/29/2021,52
3/30/2021,50
3/31/2021,49
4/1/2021,53
4/5/2021,60
4/6/2021,51
4/7/2021,49
4/8/2021,45
4/9/2021,47
4/12/2021,50
4/13/2021,55
4/14/2021,52
4/15/2021,51
4/16/2021,49
